L,n,U,delta,dtot_raw,net,nk,dtot_N,son,sext,d,dxy
12,1.0,3.5,0.2,7.518391907000001,2.149999997758112e-07,144,0.05221105490972223,-0.085288497,0.431500453,0.177106868,0.01698043
12,1.0,3.5,0.3,9.823404757999999,-8.140000007927917e-07,144,0.06821808859722221,-0.126411244,0.422798536,0.107102208,0.196092567
12,1.0,3.5,0.4,4.820713405,1.8500000027732444e-07,144,0.033477176423611116,-0.126409556,0.392748555,0.140499293,0.265194033
12,1.0,3.5,0.5,1.1796338970000004,4.099999972514978e-08,144,0.008191902062500003,-0.148425547,0.365972049,0.059250751,0.327154838
12,1.0,3.5,0.6,0.9776099200000001,2.1999999599842113e-08,144,0.006788957777777779,-0.143670415,0.338904194,0.050897178,0.321835744
12,1.0,3.5,0.7,0.8130793119999995,2.000000121071821e-08,144,0.005646384111111107,-0.139031364,0.314572396,0.045282279,0.312158337
12,1.0,3.0,0.1,4.031493155,9.900000083606919e-08,144,0.027996480243055552,-0.080599954,0.39369183,0.159774721,-0.006531306
12,1.0,3.0,0.2,13.189997264999999,-1.261000000141177e-06,144,0.09159720322916666,-0.119661004,0.394299733,0.08744347,0.096368521
12,1.0,3.0,0.3,2.5970551339999997,-3.000000024788729e-08,144,0.01803510509722222,-0.146647548,0.371700515,0.047170392,0.248299341
12,1.0,3.0,0.4,0.9996503250000003,3.0999999997560757e-08,144,0.0069420161458333355,-0.141896016,0.34211747,0.042578753,0.27897997
12,1.0,3.0,0.5,0.8248738000000002,1.6000000071375586e-08,144,0.0057282902777777795,-0.136796855,0.315853251,0.039094969,0.279789615
12,1.0,3.0,0.6,0.6609864520000004,-5.999999681122192e-09,144,0.0045901836944444475,-0.131700032,0.292019459,0.037724116,0.274745005
12,1.0,3.0,0.7,0.5735161590000001,3.000000671493641e-09,144,0.003982751104166667,-0.1268191,0.270963665,0.037033984,0.265573504
12,1.0,4.5,0.1,3.622654517,9.699999975465445e-08,144,0.02515732303472222,-0.066292271,0.476275412,0.217696171,-0.020797957
12,1.0,4.5,0.2,7.133741912,1.979999990422976e-07,144,0.049539874388888884,-0.070761923,0.47992423,0.216669343,-0.004881698
12,1.0,4.5,0.3,10.214461093,2.629999994036014e-07,144,0.07093375759027779,-0.084179533,0.490266923,0.214583507,0.032416664
12,1.0,4.5,0.4,10.694402513,3.5299999998072984e-07,144,0.07426668411805555,-0.107232709,0.483020866,0.196061395,0.165683279
12,1.0,4.5,0.5,6.773327352000001,2.660000000265228e-07,144,0.047036995500000005,-0.13460095,0.454329199,0.151243121,0.340487702
12,1.0,4.5,0.6,5.359879887999999,1.9599999991071204e-07,144,0.03722138811111111,-0.134878953,0.422272942,0.157303895,0.352241614
12,1.0,4.5,0.7,1.5541249790000005,5.099999993152249e-08,144,0.010792534576388893,-0.156263857,0.396847369,0.068327511,0.40213133
12,1.0,4.0,0.1,3.9458190910000006,1.1900000049247517e-07,144,0.027401521465277783,-0.071801775,0.460091393,0.206504731,-0.016515776
