L,nup,delta,U,seed,chi_son,chi_sext,chi_d,chi_dxy,n
12,56,0.0,4.0,1,-9.653520050270675,1.4129705375540418,4.206917281250804,-2.372816727148501,0.7777777777777778
12,56,0.0,4.0,2,-9.669086407705061,1.7126708772948416,3.7082727198786785,-2.015633578007511,0.7777777777777778
12,56,0.0,4.0,3,-9.574249490551827,1.6736604759370373,4.239932460793598,-2.6065991254452876,0.7777777777777778
12,56,0.0,4.0,4,-9.679526589860853,1.5082229658511106,2.9828872863366422,-0.8575185124975351,0.7777777777777778
12,56,0.0,4.0,5,-9.415015684735582,1.6653442958240077,3.073255417726263,-1.11819585593743,0.7777777777777778
12,56,0.0,4.0,6,-9.636050916283079,1.5552377939069264,2.990062053355582,-1.6605079688290978,0.7777777777777778
12,56,0.1,4.0,1,-9.573577835530944,1.4307796463359161,3.087621436328418,-3.184076344497477,0.7777777777777778
12,56,0.1,4.0,2,-9.542612531479943,1.3114017150241115,1.1385443672198319,-0.7320593448752586,0.7777777777777778
12,56,0.1,4.0,3,-9.448104615805406,1.5355566485748309,3.5222708052388128,-1.8609426565930633,0.7777777777777778
12,56,0.1,4.0,4,-9.536231222917362,1.5553234062511585,4.934362857444482,-2.0097310190583464,0.7777777777777778
12,56,0.1,4.0,5,-9.45448170979042,1.6013026783775914,4.193214161179254,-2.791304117582564,0.7777777777777778
12,56,0.1,4.0,6,-9.549972882566255,1.5032835858781408,4.0537290172747475,-3.6266217297171948,0.7777777777777778
12,56,0.2,4.0,1,-9.090589720459096,2.221935537310725,5.35588293903813,-4.273630454758198,0.7777777777777778
12,56,0.2,4.0,2,-9.265020695840198,2.1136686382115033,4.140737902877332,-3.058637623149847,0.7777777777777778
12,56,0.2,4.0,3,-9.407696743483132,2.404339033621688,2.249686967980334,-4.577477990939383,0.7777777777777778
12,56,0.2,4.0,4,-9.338112066100171,2.4156622188771744,3.2301262111146856,-3.8006677929102537,0.7777777777777778
12,56,0.2,4.0,5,-9.076473684643583,2.172086215070282,3.817649000698792,-3.240065411362715,0.7777777777777778
12,56,0.2,4.0,6,-9.321028499627289,2.2674731079872403,4.348918763983021,-3.786430895881442,0.7777777777777778
12,56,0.3,4.0,1,-9.397183523735867,3.3026320955286614,1.805271194022503,-5.788605399810735,0.7777777777777778
12,56,0.3,4.0,2,-9.523861764090807,3.152991615258242,2.011549103941234,-6.299374556795067,0.7777777777777778
12,56,0.3,4.0,3,-9.431112074726727,3.002920586436298,2.7298310683665,-6.0388647245465545,0.7777777777777778
12,56,0.3,4.0,4,-9.366495081738242,3.0129260637276944,0.3457897827095593,-7.581844287772773,0.7777777777777778
12,56,0.3,4.0,5,-9.452813283122182,2.956421591687751,2.548667309558957,-7.156626086942214,0.7777777777777778
12,56,0.3,4.0,6,-9.322377674601153,2.976986983863249,2.214586600804975,-7.1096027787740415,0.7777777777777778
12,56,0.4,4.0,1,-9.417612510489738,2.358042150822702,1.266700394341411,-6.318913015019367,0.7777777777777778
12,56,0.4,4.0,2,-9.487513987098406,2.5480082644567794,-0.22290992785233205,-6.114708101073041,0.7777777777777778
12,56,0.4,4.0,3,-9.60931138102533,2.413489881971511,0.6737882962453896,-7.092652080453897,0.7777777777777778
12,56,0.4,4.0,4,-9.377881456817637,2.3827941980671836,0.26749552012966,-5.0763811654289555,0.7777777777777778
12,56,0.4,4.0,5,-9.46999863178855,2.264321850142212,0.43003898339823754,-6.744787584486789,0.7777777777777778
12,56,0.4,4.0,6,-9.375041076624125,2.4369856687486573,1.80605856829341,-6.380693251929346,0.7777777777777778
12,58,0.0,4.0,1,-8.216286530699314,2.5155939980001416,3.5309102148465557,-2.2969213616779496,0.8055555555555556
12,58,0.0,4.0,2,-8.580650725883775,2.7435389354340733,4.826773167413693,-0.0020142934834230354,0.8055555555555556
12,58,0.0,4.0,3,-8.402095296854721,2.6458126688827392,5.1683991146100965,-1.751841300746213,0.8055555555555556
12,58,0.0,4.0,4,-8.513302645623659,2.5144767595046864,2.868939743525255,-1.8695717683552697,0.8055555555555556
12,58,0.0,4.0,5,-8.561169512093594,2.713610009944618,3.6844130569644307,-1.8697707112837925,0.8055555555555556
12,58,0.0,4.0,6,-8.659657101588774,2.655335854204835,4.619255608969928,-1.3687916154026603,0.8055555555555556
12,58,0.1,4.0,1,-8.5201380509177,2.711703552869994,5.301195203769976,-1.927223725957134,0.8055555555555556
12,58,0.1,4.0,2,-8.559658313630777,2.5248275198045054,4.486231858741066,-1.034234267104437,0.8055555555555556
12,58,0.1,4.0,3,-8.302677323433949,2.376007267593391,6.335117312564637,-0.9186158286114683,0.8055555555555556
12,58,0.1,4.0,4,-8.528256194827655,2.5770880614231992,3.5968745855987208,-1.0881496727421283,0.8055555555555556
12,58,0.1,4.0,5,-8.617600195388217,2.5670516408974704,4.201860215450887,-1.6413771275564781,0.8055555555555556
12,58,0.1,4.0,6,-8.478359420738652,2.5120901054041074,2.926336073954282,-1.5266937669295249,0.8055555555555556
12,58,0.2,4.0,1,-8.52663059918481,3.246293204722563,2.618216953067011,-3.552634491902542,0.8055555555555556
12,58,0.2,4.0,2,-8.43368815244585,3.274921384283013,3.4349853096151732,-3.0097484450780234,0.8055555555555556
12,58,0.2,4.0,3,-8.454329441181574,3.0622141016706914,6.175389648259125,-3.886887681395271,0.8055555555555556
12,58,0.2,4.0,4,-8.266196331884457,3.125720199562271,4.4814763044836,-3.920461854996148,0.8055555555555556
12,58,0.2,4.0,5,-8.293662075307452,3.108544700838956,3.6011842400947223,-4.425827262825986,0.8055555555555556
12,58,0.2,4.0,6,-8.249417493755221,3.086711754715197,2.6998809784113815,-3.332845361569291,0.8055555555555556
12,58,0.3,4.0,1,-7.865904962681043,3.455166743098343,2.011122807351234,-6.5155243352704915,0.8055555555555556
12,58,0.3,4.0,2,-8.51937206532272,3.6427442866973463,2.717376264503095,-6.386647263150952,0.8055555555555556
12,58,0.3,4.0,3,-8.379416651454552,3.6128472748368567,3.058803301081798,-6.313993473224809,0.8055555555555556
12,58,0.3,4.0,4,-8.23678634041038,3.4288743725051916,2.28753527258739,-5.503745310542746,0.8055555555555556
12,58,0.3,4.0,5,-8.374864236577011,3.622729027347071,1.7031138510587318,-6.900028703573961,0.8055555555555556
12,58,0.3,4.0,6,-8.599144392438328,3.5011271299894346,1.5966000487093859,-5.637135072770955,0.8055555555555556
12,58,0.4,4.0,1,-8.521547837211312,3.0609509352135995,1.2964852917065453,-5.581746495167863,0.8055555555555556
12,58,0.4,4.0,2,-8.521521752775753,3.0945566978044337,1.799791822244695,-6.2619039516731085,0.8055555555555556
12,58,0.4,4.0,3,-8.200528584782013,2.8889695486374842,0.4029847395692405,-4.059677938533136,0.8055555555555556
12,58,0.4,4.0,4,-8.458755699007543,3.0020944581495583,1.2826632090058117,-5.191312602627728,0.8055555555555556
12,58,0.4,4.0,5,-8.325867578302532,3.0854812779453744,1.856585591704695,-4.424659397721382,0.8055555555555556
12,58,0.4,4.0,6,-8.488761655577125,3.0927899016027127,1.3453067218092976,-4.353789440902931,0.8055555555555556
12,60,0.0,4.0,1,-7.765256421214931,3.6669798279193393,4.228640377895401,-1.392925287042938,0.8333333333333334
12,60,0.0,4.0,2,-7.5376657214940765,3.465691976750102,4.578647108431041,-0.8792078421906879,0.8333333333333334
12,60,0.0,4.0,3,-7.488466082757904,3.483543615476063,7.371025123521926,-1.2716432529310933,0.8333333333333334
12,60,0.0,4.0,4,-7.6068443029137,3.52644607000718,4.55134267585468,-0.9189356187147336,0.8333333333333334
